                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1819,                 3.1029,                 3.3051,                 1.3986,                0.00192,                0.90625,                0.23852,                0.15656,                0.00167,                0.78906,                0.22938,                0.15975,                  1.595,                 2.7043,                 5.3225,                 1.9417,                0.00062,                0.00062,                0.00062
                      1,                 1.0055,                 1.7422,                 2.2667,                 1.1587,                0.46426,                0.63281,                0.46876,                0.28671,                0.45122,                0.61026,                0.44329,                0.27962,                 1.1125,                 2.4941,                 3.9154,                  1.359,              0.0011353,              0.0011353,              0.0011353
                      2,                 1.0881,                 1.7524,                 2.0448,                  1.242,                0.52326,                0.51562,                0.41549,                0.24824,                0.52145,                0.51562,                0.41291,                0.21993,                 1.4802,                 2.5765,                  3.708,                 1.7006,              0.0015238,              0.0015238,              0.0015238
                      3,                 1.0024,                 1.6068,                 1.7516,                 1.1514,                0.36852,                0.42969,                0.28421,                0.16465,                0.37522,                 0.4375,                0.28087,                0.15158,                 1.4162,                 2.3608,                 3.3902,                 1.6177,               0.001406,               0.001406,               0.001406
                      4,                0.96942,                 1.5526,                 1.6095,                 1.1664,                0.35535,                 0.4375,                0.28114,                0.17119,                 0.2646,                0.28906,                 0.1147,                0.04026,                  1.334,                 5.7976,                 3.4878,                 1.4011,               0.001406,               0.001406,               0.001406
                      5,                 0.9174,                 1.6164,                 1.4162,                 1.1386,                0.70066,                0.66406,                0.63619,                0.40868,                0.69533,                 0.6875,                0.64751,                0.42792,                 1.1456,                 1.2256,                 2.4156,                 1.3539,               0.001208,               0.001208,               0.001208
                      6,                0.93606,                 1.4928,                 1.2335,                 1.1267,                0.51061,                0.77344,                0.53673,                0.39374,                0.51056,                0.79867,                0.53877,                0.39052,                  1.001,                 1.2485,                 1.8612,                 1.2134,                0.00101,                0.00101,                0.00101
                      7,                0.85768,                 1.3676,                  1.158,                 1.0989,                0.56297,                0.76487,                 0.5783,                0.42583,                0.55756,                0.75809,                0.56964,                0.40809,                0.96626,                 1.2192,                 2.0282,                  1.184,               0.000812,               0.000812,               0.000812
                      8,                0.80587,                  1.308,                 1.0607,                 1.0471,                0.56471,                0.89191,                0.57344,                0.43829,                0.58287,                  0.875,                0.57836,                0.43739,                0.81493,                0.91454,                 1.5834,                 1.0606,               0.000614,               0.000614,               0.000614
                      9,                 0.7634,                 1.3115,                0.99125,                 1.0402,                0.60536,                0.88281,                 0.6879,                 0.5408,                0.61221,                0.89062,                0.68005,                0.50977,                0.77647,                 1.0083,                 1.3997,                 1.0434,               0.000416,               0.000416,               0.000416
